trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0015,trend,trend,DOGE,2024-09-18T12:00:00.000Z,2024-10-02T00:00:00.000Z,0.10022,0.10686,127861.48300000001,849.0002471200005,79.43266769892,769.5675794210805,27,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0016,trend,trend,DOGE,2024-10-16T00:00:00.000Z,2024-12-10T12:00:00.000Z,0.11748,0.40949,115626.876,33764.20406076001,182.79568453716,33581.40837622285,111,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0017,trend,trend,DOGE,2025-01-06T12:00:00.000Z,2025-01-08T00:00:00.000Z,0.38677,0.348,121946.515,-4727.866386550006,268.80792247964996,-4996.674309029656,3,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0018,trend,trend,DOGE,2025-01-17T12:00:00.000Z,2025-01-21T00:00:00.000Z,0.41137,0.35456,102507.668,-5823.460619080004,235.54109445372,-6059.001713533724,7,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0019,trend,trend,DOGE,2025-04-26T12:00:00.000Z,2025-05-06T12:00:00.000Z,0.18152,0.16535,198928.921,-3216.680652569994,207.00742448181,-3423.688077051804,20,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0020,trend,trend,DOGE,2025-05-13T00:00:00.000Z,2025-05-29T00:00:00.000Z,0.23102,0.22096,141485.108,-1423.3401864800035,191.84531734152,-1615.1855038215235,32,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0021,trend,trend,DOGE,2025-07-07T00:00:00.000Z,2025-07-30T12:00:00.000Z,0.17196,0.21608,180685.649,7971.850833879998,210.33977771387998,7761.511056166119,47,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0022,trend,trend,DOGE,2025-08-09T00:00:00.000Z,2025-08-12T00:00:00.000Z,0.23039,0.22208,168549.916,-1400.649801960004,228.79134147756,-1629.441143437564,6,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0023,trend,trend,DOGE,2025-08-14T12:00:00.000Z,2025-08-18T12:00:00.000Z,0.23797,0.22178,156333.883,-2531.0455657700004,215.62350812775,-2746.6690738977504,8,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0024,trend,trend,DOGE,2025-09-16T12:00:00.000Z,2025-09-22T12:00:00.000Z,0.26459,0.23917,130224.517,-3310.30722214,196.80570805176,-3507.11293019176,12,trend-close>sma40|mom20-ok|retq22-off,risk-off
retq22-0025,trend,trend,DOGE,2025-10-03T00:00:00.000Z,2025-10-04T12:00:00.000Z,0.26201,0.24952,118121.41500000001,-1475.3364733500057,181.26794224485002,-1656.6044155948557,3,trend-close>sma40|mom20-ok|retq22-off,sma-break
retq22-0026,trend,trend,DOGE,2025-10-08T12:00:00.000Z,2025-10-09T12:00:00.000Z,0.2493,0.24756,117498.546,-204.44747003999873,175.14098269668,-379.58845273667873,2,trend-close>sma40|mom20-ok|retq22-off,sma-break
