entry_time,exit_time,symbol,entry_price,exit_price,qty,gross_pnl,net_pnl,fee,holding_bars,exit_reason,strategy_mode
2023-11-26T12:00:00.000Z,2023-11-30T00:00:00.000Z,ETH,2084.65,2028.8,9.918000000000001,-553.920299999998,-676.311891299998,122.39159130000002,7,sma-break,A_BALANCE
2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,SOL,59.74,64.18,334.83,1486.645199999999,1362.168799199999,124.47640080000002,11,rebalance-switch,A_BALANCE
2023-12-07T12:00:00.000Z,2023-12-11T00:00:00.000Z,AVAX,50.96,45.02,419.12,-2489.5728000000017,-2610.254212800002,120.6814128,7,sma-break,A_BALANCE
2023-12-13T00:00:00.000Z,2023-12-17T12:00:00.000Z,AVAX,48.46,48.59,387.15000000000003,50.32950000000346,-62.38922249999655,112.71872250000001,9,sma-break,A_BALANCE
2023-12-18T12:00:00.000Z,2023-12-24T00:00:00.000Z,SOL,69.02,107.88,270.92,10527.951200000003,10384.173956000002,143.777244,11,rebalance-switch,A_BALANCE
2023-12-24T00:00:00.000Z,2023-12-26T12:00:00.000Z,ETH,2308.2,2242.6,12.577,-825.0511999999981,-996.757434799998,171.7062348,5,sma-break,A_BALANCE
2023-12-29T12:00:00.000Z,2024-01-06T12:00:00.000Z,SOL,107.56,94.45,260.68,-3417.514799999997,-3575.4947003999973,157.97990040000002,16,sma-break,A_BALANCE
2024-01-09T12:00:00.000Z,2024-01-13T00:00:00.000Z,ETH,2298.77,2522.55,10.65,2383.2570000000014,2229.2158260000015,154.041174,7,risk-off,A_BALANCE
2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,SOL,109.71,110.32,243.37,148.45569999999861,-12.190403300001378,160.6461033,11,rebalance-switch,A_BALANCE
2024-02-17T00:00:00.000Z,2024-03-04T12:00:00.000Z,ETH,2801.81,3506.92,9.525,6716.1727500000015,6535.900790250002,180.27195975,33,rebalance-switch,A_BALANCE
2024-03-04T12:00:00.000Z,2024-03-21T00:00:00.000Z,SOL,132.59,191.76,250.33,14812.026099999995,14568.442493499995,243.58360650000003,33,rebalance-switch,A_BALANCE
2024-03-21T00:00:00.000Z,2024-03-21T12:00:00.000Z,AVAX,18.75,18.52,2543.29,-584.9567000000025,-869.3219549000024,284.36525489999997,1,sma-break,A_BALANCE
2024-03-26T12:00:00.000Z,2024-04-02T12:00:00.000Z,SOL,194.8,179.87,240.35,-3588.4254999999976,-3858.5813034999974,270.15580350000005,14,sma-break,A_BALANCE
2024-04-12T00:00:00.000Z,2024-04-13T00:00:00.000Z,ETH,3502.52,3237.42,12.271,-3253.0420999999988,-3501.159511219999,248.11741122000006,2,risk-off,A_BALANCE
2024-05-20T12:00:00.000Z,2024-05-26T00:00:00.000Z,SOL,177.72,168.35,222.25,-2082.4824999999983,-2313.224672499998,230.74217249999998,11,rebalance-switch,A_BALANCE
2024-05-26T00:00:00.000Z,2024-06-06T00:00:00.000Z,ETH,3749.25,3866,9.921,1158.2767499999973,931.6240642499972,226.65268575,22,rebalance-switch,A_BALANCE
2024-06-06T00:00:00.000Z,2024-06-07T00:00:00.000Z,SOL,173.55,170.15,219.67000000000002,-746.8780000000042,-973.3797370000043,226.50173700000002,2,sma-break,A_BALANCE
2024-07-20T00:00:00.000Z,2024-08-02T00:00:00.000Z,SOL,169.12,167.37,219.70000000000002,-384.47499999999854,-606.2555589999986,221.78055900000004,26,sma-break,A_BALANCE
2024-08-27T12:00:00.000Z,2024-08-28T00:00:00.000Z,SOL,154.26,146.78,236.95000000000002,-1772.3859999999986,-1986.3802839999985,213.994284,1,risk-off,A_BALANCE
2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,ETH,2646.98,2652.49,13.062,71.97161999999662,-135.69341142000337,207.66503142,11,rebalance-switch,A_BALANCE
2024-09-29T12:00:00.000Z,2024-10-03T00:00:00.000Z,SOL,156.76,140.18,219.70000000000002,-3642.6259999999966,-3838.3391539999966,195.713154,7,sma-break,A_BALANCE
2024-10-16T00:00:00.000Z,2024-11-03T12:00:00.000Z,SOL,154.76,163.62,197.86,1753.0396,1564.0555996,188.9840004,37,sma-break,A_BALANCE
2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,ETH,2721.88,3282.41,11.822000000000001,6626.585660000001,6413.6375108600005,212.94814914000003,11,rebalance-switch,A_BALANCE
2024-11-12T12:00:00.000Z,2024-11-13T00:00:00.000Z,AVAX,17.56,16.81,2195.88,-1646.9099999999962,-1873.327186799996,226.41718679999997,1,sma-break,A_BALANCE
2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,SOL,237.47,256.13,154.52,2883.3431999999957,2654.5299839999957,228.813216,11,rebalance-switch,A_BALANCE
2024-11-23T12:00:00.000Z,2024-11-24T00:00:00.000Z,AVAX,13.29,13.28,2959.89,-29.598900000004505,-265.5317319000045,235.9328319,1,sma-break,A_BALANCE
2024-11-29T00:00:00.000Z,2024-12-04T12:00:00.000Z,ETH,3578.8,3729.09,10.917,1640.7159299999985,1401.3752246099984,239.34070539000004,11,rebalance-switch,A_BALANCE
