ts,iso_time,equity,cash,position_symbol,position_side,position_qty,position_entry_price
1689876000000,2023-07-20T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1689897600000,2023-07-21T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1689919200000,2023-07-21T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1689940800000,2023-07-21T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1689962400000,2023-07-21T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1689984000000,2023-07-22T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690005600000,2023-07-22T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690027200000,2023-07-22T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690048800000,2023-07-22T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690070400000,2023-07-23T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690092000000,2023-07-23T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690113600000,2023-07-23T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690135200000,2023-07-23T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690156800000,2023-07-24T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690178400000,2023-07-24T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690200000000,2023-07-24T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690221600000,2023-07-24T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690243200000,2023-07-25T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690264800000,2023-07-25T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690286400000,2023-07-25T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690308000000,2023-07-25T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690329600000,2023-07-26T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690351200000,2023-07-26T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690372800000,2023-07-26T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690394400000,2023-07-26T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690416000000,2023-07-27T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690437600000,2023-07-27T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690459200000,2023-07-27T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690480800000,2023-07-27T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690502400000,2023-07-28T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690524000000,2023-07-28T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690545600000,2023-07-28T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690567200000,2023-07-28T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690588800000,2023-07-29T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690610400000,2023-07-29T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690632000000,2023-07-29T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690653600000,2023-07-29T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690675200000,2023-07-30T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690696800000,2023-07-30T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690718400000,2023-07-30T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690740000000,2023-07-30T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690761600000,2023-07-31T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690783200000,2023-07-31T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690804800000,2023-07-31T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690826400000,2023-07-31T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690848000000,2023-08-01T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690869600000,2023-08-01T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690891200000,2023-08-01T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690912800000,2023-08-01T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690934400000,2023-08-02T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690956000000,2023-08-02T06:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690977600000,2023-08-02T12:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1690999200000,2023-08-02T18:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
1691020800000,2023-08-03T00:00:00.000Z,5768.965046420014,5768.965046420014,CASH,cash,0,0
