id,family,params,train_trades,train_wins,train_losses,train_ties,train_win_rate,train_expectancy,train_profit_units,train_max_dd_units,train_max_loss_streak,train_positive_month_ratio,train_compound_end,train_compound_return,train_compound_max_dd,validation_trades,validation_wins,validation_losses,validation_ties,validation_win_rate,validation_expectancy,validation_profit_units,validation_max_dd_units,validation_max_loss_streak,validation_positive_month_ratio,validation_compound_end,validation_compound_return,validation_compound_max_dd,neighbor_stability
R306,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.9, ""trend_rsi"": 52}",52062,25321,26444,297,0.48915290254032645,-0.11952477542741236,-6187.2,-6195.799999997168,20,0.0,1.5893497664157747e-28,-1.0,-1.0,25814,12265,13295,254,0.4798513302034429,-0.13626760563380283,-3483.0000000000005,-3490.1999999993322,32,0.0,2.590231004750135e-16,-0.9999999999999998,-0.9999999999999998,0.0
R307,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.3, ""trend_rsi"": 55}",42260,20047,21990,223,0.47688940695101933,-0.14159906748816517,-5952.400000000001,-5961.199999997916,17,0.0,2.4615938567540178e-27,-1.0,-1.0,20969,9669,11086,214,0.4658636473139003,-0.16144543483497953,-3350.8,-3356.7999999995122,31,0.0,1.1793759715037268e-15,-0.9999999999999988,-0.9999999999999989,0.0
R308,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.3, ""trend_rsi"": 55}",45743,21988,23508,247,0.48329523474591174,-0.13006857745735892,-5917.6,-5925.999999997704,17,0.0,3.0362296920920328e-27,-1.0,-1.0,22780,10708,11844,228,0.4748137637460092,-0.14533522525718343,-3277.6000000000004,-3283.9999999994666,31,0.0,2.283613711500804e-15,-0.9999999999999977,-0.9999999999999979,0.0
R309,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.3, ""trend_rsi"": 55}",54577,26720,27545,312,0.49239841518474153,-0.11368285266746522,-6169.000000000001,-6176.599999996978,17,0.0,1.725254447050675e-28,-1.0,-1.0,26884,12961,13659,264,0.4868895567242675,-0.12359879789631859,-3290.2000000000003,-3298.199999999344,31,0.0,1.7103290773865727e-15,-0.9999999999999983,-0.9999999999999984,0.0
R310,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.6, ""trend_rsi"": 55}",42250,20046,21981,223,0.4769790848740096,-0.1414376472267828,-5944.200000000001,-5952.999999997919,17,0.0,2.6732471710854527e-27,-1.0,-1.0,20966,9668,11084,214,0.46588280647648417,-0.16141094834232844,-3349.6000000000004,-3355.599999999513,31,0.0,1.1937719056685453e-15,-0.9999999999999988,-0.9999999999999989,0.0
R311,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.6, ""trend_rsi"": 55}",45535,21882,23407,246,0.48316368213031863,-0.1303053721654265,-5901.400000000001,-5909.799999997715,17,0.0,3.6005062163136405e-27,-1.0,-1.0,22679,10645,11807,227,0.474122572599323,-0.1465793693212186,-3291.0,-3297.399999999469,31,0.0,2.0049655691292075e-15,-0.999999999999998,-0.9999999999999981,0.0
R312,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.6, ""trend_rsi"": 55}",52988,25899,26788,301,0.491563383756904,-0.11518590923757284,-6068.8,-6076.3999999971165,17,0.0,5.01087977898776e-28,-1.0,-1.0,26203,12565,13382,256,0.48425636875168615,-0.12833853624696498,-3330.0,-3337.999999999344,31,0.0,1.1796687105194713e-15,-0.9999999999999988,-0.9999999999999989,0.0
R313,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.9, ""trend_rsi"": 55}",42162,19993,21946,223,0.4767161830277308,-0.14191087055008467,-5951.6,-5960.399999997912,17,0.0,2.4911455524100642e-27,-1.0,-1.0,20939,9650,11076,213,0.4655987648364373,-0.1619222232944128,-3356.0,-3361.999999999513,31,0.0,1.120857027805055e-15,-0.9999999999999989,-0.9999999999999989,0.0
R314,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.9, ""trend_rsi"": 55}",44890,21532,23116,242,0.48226124350474825,-0.13192976169145312,-5890.4,-5898.799999997761,17,0.0,4.1241618339730486e-27,-1.0,-1.0,22399,10482,11692,225,0.47271579327139895,-0.14911157211148193,-3306.4000000000005,-3312.7999999994736,31,0.0,1.7377720442724307e-15,-0.9999999999999982,-0.9999999999999983,0.0
R315,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.9, ""trend_rsi"": 55}",50073,24359,25434,280,0.489205309983331,-0.11943044203000422,-5946.800000000001,-5952.7999999973545,17,0.0,1.9082753903635747e-27,-1.0,-1.0,24886,11833,12809,244,0.48019641262884505,-0.13564645726807892,-3342.6000000000004,-3348.99999999938,31,0.0,1.095680800974687e-15,-0.9999999999999989,-0.999999999999999,0.0
R316,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.3, ""trend_rsi"": 58}",38500,18221,20075,204,0.4757938165865887,-0.14357113014414039,-5498.200000000001,-5503.599999998146,21,0.0,2.697038295794443e-25,-1.0,-1.0,19068,8768,10112,188,0.46440677966101696,-0.16406779661016951,-3097.6,-3103.5999999996247,30,0.0,1.60336835026447e-14,-0.999999999999984,-0.9999999999999849,0.0
R317,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.3, ""trend_rsi"": 58}",41983,20162,21593,228,0.4828643276254341,-0.13084421027421864,-5463.4,-5468.399999997946,18,0.0,3.326636411580359e-25,-1.0,-1.0,20879,9807,10870,202,0.4742951105092615,-0.14626880108332932,-3024.4,-3030.3999999996036,30,0.0,3.104585846854167e-14,-0.9999999999999689,-0.9999999999999708,0.0
R318,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.3, ""trend_rsi"": 58}",50817,24894,25630,293,0.49271633283192146,-0.11311060090254137,-5714.8,-5719.799999997332,20,0.0,1.8902701194669118e-26,-1.0,-1.0,24983,12060,12685,238,0.4873711860982017,-0.12273186502323702,-3037.0,-3044.1999999994923,30,0.0,2.325202121696848e-14,-0.9999999999999768,-0.9999999999999784,0.0
R319,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.6, ""trend_rsi"": 58}",38490,18220,20066,204,0.4758919709554406,-0.14339445228020686,-5490.0,-5495.399999998147,21,0.0,2.92893564661757e-25,-1.0,-1.0,19065,8767,10110,188,0.46442761031943636,-0.16403030142501457,-3096.3999999999996,-3102.399999999625,30,0.0,1.6229397047520314e-14,-0.9999999999999838,-0.9999999999999847,0.0
R320,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.6, ""trend_rsi"": 58}",41775,20056,21492,227,0.4827187830942524,-0.13110619043034563,-5447.200000000001,-5452.199999997957,18,0.0,3.944884377656438e-25,-1.0,-1.0,20778,9744,10833,201,0.47353841667881613,-0.14763084997813092,-3037.8,-3043.7999999996,30,0.0,2.725762110290471e-14,-0.9999999999999727,-0.9999999999999744,0.0
R321,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.6, ""trend_rsi"": 58}",49228,24073,24873,282,0.49182772851714135,-0.1147100886691456,-5614.6,-5619.599999997448,20,0.0,5.490156153287319e-26,-1.0,-1.0,24302,11664,12408,230,0.48454636091724823,-0.12781655034895315,-3076.8,-3083.99999999949,30,0.0,1.6037663306236546e-14,-0.999999999999984,-0.999999999999985,0.0
R322,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.9, ""trend_rsi"": 58}",38402,18167,20031,204,0.4756008167966909,-0.14391852976595632,-5497.400000000001,-5502.7999999981475,21,0.0,2.7294165269439775e-25,-1.0,-1.0,19038,8749,10102,187,0.464113309638746,-0.1645960426502573,-3102.8,-3108.7999999996237,30,0.0,1.5238115130179955e-14,-0.9999999999999848,-0.9999999999999857,0.0
R323,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.9, ""trend_rsi"": 58}",41130,19706,21201,223,0.48172684381646175,-0.1328916811303689,-5436.200000000001,-5441.199999997993,18,0.0,4.518626163191188e-25,-1.0,-1.0,20498,9581,10718,199,0.47199369427065374,-0.1504113503128233,-3053.2,-3059.1999999995887,30,0.0,2.362510991476561e-14,-0.9999999999999764,-0.9999999999999778,0.0
R324,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.9, ""trend_rsi"": 58}",46313,22533,23519,261,0.4892947103274559,-0.11926952141057935,-5492.6,-5495.999999997632,18,0.0,2.0907964945604444e-25,-1.0,-1.0,22985,10932,11835,218,0.4801686651732771,-0.1356964026881012,-3089.4,-3095.399999999524,30,0.0,1.489584289253731e-14,-0.9999999999999851,-0.999999999999986,0.0
ML_LOGIT_T0.55,ml,"{""model"": ""ML_LOGIT"", ""threshold"": 0.55, ""features"": [""ret1"", ""ret2"", ""ret3"", ""ret6"", ""ret12"", ""ema_spread_8_30"", ""ema_spread_20_50"", ""rsi14"", ""bb_z20"", ""vol_z20"", ""vol_ratio20"", ""adx14"", ""atr_pct"", ""body_frac"", ""signed_body"", ""upper_wick"", ""lower_wick"", ""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""sym_BNBUSDT"", ""sym_BTCUSDT"", ""sym_ETHUSDT"", ""sym_SOLUSDT""]}",6794,3750,3044,0,0.5519576096555785,-0.006476302619958796,-44.00000000000006,-114.20000000000194,19,0.5,0.4903743727162844,-0.5096256272837156,-0.713759259314251,3742,2157,1585,0,0.5764297167290219,0.03757349011223943,140.59999999999994,-49.60000000000036,17,1.0,3.5168285574025697,2.5168285574025697,-0.4009509344734985,0.0
ML_LOGIT_T0.56,ml,"{""model"": ""ML_LOGIT"", ""threshold"": 0.56, ""features"": [""ret1"", ""ret2"", ""ret3"", ""ret6"", ""ret12"", ""ema_spread_8_30"", ""ema_spread_20_50"", ""rsi14"", ""bb_z20"", ""vol_z20"", ""vol_ratio20"", ""adx14"", ""atr_pct"", ""body_frac"", ""signed_body"", ""upper_wick"", ""lower_wick"", ""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""sym_BNBUSDT"", ""sym_BTCUSDT"", ""sym_ETHUSDT"", ""sym_SOLUSDT""]}",3114,1696,1418,0,0.5446371226718048,-0.019653179190751456,-61.20000000000003,-76.40000000000096,15,0.16666666666666666,0.47837491388064457,-0.5216250861193554,-0.5576152141808677,1812,1052,760,0,0.5805739514348786,0.04503311258278145,81.59999999999998,-31.400000000000315,12,0.6666666666666666,2.1048816078963233,1.1048816078963233,-0.2767614255298053,0.0
ML_LOGIT_T0.57,ml,"{""model"": ""ML_LOGIT"", ""threshold"": 0.57, ""features"": [""ret1"", ""ret2"", ""ret3"", ""ret6"", ""ret12"", ""ema_spread_8_30"", ""ema_spread_20_50"", ""rsi14"", ""bb_z20"", ""vol_z20"", ""vol_ratio20"", ""adx14"", ""atr_pct"", ""body_frac"", ""signed_body"", ""upper_wick"", ""lower_wick"", ""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""sym_BNBUSDT"", ""sym_BTCUSDT"", ""sym_ETHUSDT"", ""sym_SOLUSDT""]}",1528,857,671,0,0.5608638743455497,0.009554973821989525,14.599999999999994,-36.40000000000008,15,0.6666666666666666,1.0886583120148365,0.08865831201483654,-0.31295074771714115,922,540,382,0,0.5856832971800434,0.05422993492407808,49.999999999999986,-23.400000000000176,12,0.6666666666666666,1.5897604023287977,0.5897604023287977,-0.21485885504339752,0.0
