scenario,month,openingAssetJpy,depositJpy,closingAssetJpy,tradingPnlJpy,timeWeightedReturnPct,V12,PENGU,Q102,FET,V52,OTHER,logicPnlSumJpy,reconciliationResidualJpy
NORMAL,2026-07,1297521304.2017653,10000.0,1412458908.3688695,114927604.16710424,8.85740512,115871155.68275142,-132199742.3506631,0.0,-11809423.29303225,143065614.1280479,0.0,114927604.16710399,2.5331974029541016e-07
NORMAL,2026-08,1412458908.3688695,10000.0,1448665533.0239232,36196624.65505362,2.5626493,0.0,26780096.55521676,0.0,0.0,9416528.09983686,0.0,36196624.655053616,7.450580596923828e-09
SEVERE,2025-08,10000.0,0.0,9564.33166295,-435.66833705,-4.35668337,-181.56567500000006,-297.87695305,-36.86346233000002,80.63775337,0.0,0.0,-435.6683370100001,-3.999991804448655e-08
SEVERE,2025-09,9564.33166295,10000.0,24098.76548421,4534.43382126,23.17704432,911.4355922000001,2635.42108711,-22.241987339999923,1009.8191292900001,0.0,0.0,4534.4338212600005,-9.094947017729282e-13
SEVERE,2025-10,24098.76548421,10000.0,76071.40378746,41972.63830325,123.0913721,-1476.5119979700007,24532.976646839998,18700.523423270002,215.65023109,0.0,0.0,41972.63830323,2.0001607481390238e-08
SEVERE,2025-11,76071.40378746,10000.0,537988.66814442,451917.26435696,525.049255,72439.26229686999,8108.3599258600025,430596.18504347,-59226.542909230004,0.0,0.0,451917.26435697,-9.953510016202927e-09
SEVERE,2025-12,537988.66814442,10000.0,643151.00206442,95162.33392,17.3657485,28133.27630631998,76570.47256902,-9541.414955359998,0.0,0.0,0.0,95162.33391997998,2.0023435354232788e-08
SEVERE,2026-01,643151.00206442,10000.0,3063718.15194629,2410567.14988187,369.06735843,811924.19836185,625768.61763636,938403.1332890401,34471.20059465,0.0,0.0,2410567.1498819003,-3.026798367500305e-08
SEVERE,2026-02,3063718.15194629,10000.0,7003293.0619768,3929574.91003051,127.84434733,1155559.4352872295,483815.98666030995,1177247.52477231,1112951.96331066,0.0,0.0,3929574.9100305093,4.656612873077393e-10
SEVERE,2026-03,7003293.0619768,10000.0,20429312.09219672,13416019.03021992,191.29414544,1461428.0936398504,2623812.1026064,4067979.9649088206,5262798.869064881,0.0,0.0,13416019.030219952,-3.166496753692627e-08
SEVERE,2026-04,20429312.09219672,10000.0,25658624.40751907,5219312.31532235,25.53565547,-434553.4209680301,4986013.91063731,1238488.7639536404,-570636.93830056,0.0,0.0,5219312.31532236,-1.0244548320770264e-08
SEVERE,2026-05,25658624.40751907,10000.0,38281571.03596161,12612946.62844254,49.1376025,50191.17305534013,2105631.7049314403,2488833.96409928,7968289.78635648,0.0,0.0,12612946.62844254,0.0
SEVERE,2026-06,38281571.03596161,10000.0,82874627.01009583,44583055.97413422,116.4304696,16390875.375235073,837341.44532918,25011988.34624969,2342850.80732033,0.0,0.0,44583055.974134274,-5.21540641784668e-08
SEVERE,2026-07,82874627.01009583,10000.0,74850413.03352356,-8034213.97657228,-9.69324984,2126274.5485857525,-9309582.49467304,0.0,-850906.03048496,0.0,0.0,-8034213.976572247,-3.259629011154175e-08
SEVERE,2026-08,74850413.03352356,10000.0,75982803.52048858,1122390.48696502,1.49931111,0.0,1122390.48696501,0.0,0.0,0.0,0.0,1122390.48696501,1.0011717677116394e-08
