decision_i,entry_i,exit_i,side,gross,entry,exit,return,pnl,equity,reason,funding_sum,engine,decision_time,entry_time,exit_time
6091,6092,6128,1,0.75,0.006851,0.00687,0.0008424883228725295,31.610225799704494,37551.68610284724,TIME,0.0004500000000000129,LONG_BASE_BREAKOUT,2026-04-13T19:00:00+00:00,2026-04-13T20:00:00+00:00,2026-04-15T08:00:00+00:00
6393,6394,6412,1,0.75,0.008866,0.009885,0.08511259023234825,3196.121271805401,40747.80737465264,TRAIL,0.00025000000000000716,LONG_BASE_BREAKOUT,2026-04-26T09:00:00+00:00,2026-04-26T10:00:00+00:00,2026-04-27T04:00:00+00:00
6489,6490,6526,-1,0.75,0.009674,0.009992,-0.025216210977878763,-1027.5053076452023,39720.30206700744,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-04-30T09:00:00+00:00,2026-04-30T10:00:00+00:00,2026-05-01T22:00:00+00:00
6577,6578,6614,1,0.75,0.010405,0.011681,0.09073751201345509,3604.121385983148,43324.42345299059,TIME,0.0004500000000000129,LONG_BASE_BREAKOUT,2026-05-04T01:00:00+00:00,2026-05-04T02:00:00+00:00,2026-05-05T14:00:00+00:00
6685,6686,6722,-1,0.75,0.010279,0.01051,-0.01741725240782174,-754.5924187040873,42569.8310342865,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-05-08T13:00:00+00:00,2026-05-08T14:00:00+00:00,2026-05-10T02:00:00+00:00
6737,6738,6740,1,0.75,0.010886,0.01023284,-0.045899999999999955,-1953.9552444737492,40615.87578981275,STOP,0.0,LONG_BASE_BREAKOUT,2026-05-10T17:00:00+00:00,2026-05-10T18:00:00+00:00,2026-05-10T20:00:00+00:00
6751,6752,6788,-1,0.75,0.010283,0.009599,0.049363164932412815,2004.9281754869226,42620.803965299674,TIME,0.0005000000000000143,SHORT_PULLBACK,2026-05-11T07:00:00+00:00,2026-05-11T08:00:00+00:00,2026-05-12T20:00:00+00:00
6811,6812,6848,-1,0.75,0.009043,0.009081,-0.00371410897932092,-158.29831071339868,42462.505654586275,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-05-13T19:00:00+00:00,2026-05-13T20:00:00+00:00,2026-05-15T08:00:00+00:00
6859,6860,6896,-1,0.75,0.008818,0.008468,0.029206155023814937,1240.1665228474667,43702.67217743374,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-05-15T19:00:00+00:00,2026-05-15T20:00:00+00:00,2026-05-17T08:00:00+00:00
6917,6918,6954,-1,0.75,0.008281,0.008649,-0.033891808054582716,-1481.1625769099337,42221.50960052381,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-05-18T05:00:00+00:00,2026-05-18T06:00:00+00:00,2026-05-19T18:00:00+00:00
6972,6973,6978,1,0.75,0.008969,0.00928096,0.025149020236369644,1061.8295993536449,43283.33919987745,TRAIL,5.000000000000143e-05,LONG_BASE_BREAKOUT,2026-05-20T12:00:00+00:00,2026-05-20T13:00:00+00:00,2026-05-20T18:00:00+00:00
7119,7120,7156,-1,0.75,0.008718,0.007902,0.06940355956125266,3004.0178101686033,46287.35701004606,TIME,0.00013863000000000764,SHORT_PULLBACK,2026-05-26T15:00:00+00:00,2026-05-26T16:00:00+00:00,2026-05-28T04:00:00+00:00
7276,7277,7313,-1,0.75,0.007465,0.007033,0.04284004521098462,1982.952467007366,48270.30947705342,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-06-02T04:00:00+00:00,2026-06-02T05:00:00+00:00,2026-06-03T17:00:00+00:00
7316,7317,7353,-1,0.75,0.006859,0.006444,0.044815835034261516,2163.274226576381,50433.5837036298,TIME,0.0004500000000000129,SHORT_PULLBACK,2026-06-03T20:00:00+00:00,2026-06-03T21:00:00+00:00,2026-06-05T09:00:00+00:00
7355,7356,7392,-1,0.75,0.006476,0.006293,0.02066863804817785,1042.3934870427984,51475.9771906726,TIME,0.0004999999999999449,SHORT_PULLBACK,2026-06-05T11:00:00+00:00,2026-06-05T12:00:00+00:00,2026-06-07T00:00:00+00:00
7462,7463,7499,-1,0.75,0.006675,0.006742,-0.008090589887640458,-416.471020515266,51059.506170157336,TIME,0.00044999999999995044,SHORT_PULLBACK,2026-06-09T22:00:00+00:00,2026-06-09T23:00:00+00:00,2026-06-11T11:00:00+00:00
7581,7582,7603,1,0.75,0.006945,0.00728761,0.03591142008639307,1833.6193754802953,52893.12554563763,TRAIL,0.00024999999999997247,LONG_BASE_BREAKOUT,2026-06-14T21:00:00+00:00,2026-06-14T22:00:00+00:00,2026-06-15T19:00:00+00:00
7767,7768,7804,-1,0.75,0.006721,0.00628,0.04868642687100137,2575.1772888563864,55468.30283449402,TIME,0.0004999999999999449,SHORT_PULLBACK,2026-06-22T15:00:00+00:00,2026-06-22T16:00:00+00:00,2026-06-24T04:00:00+00:00
7937,7938,7956,1,0.75,0.006338,0.00595772,-0.04608750000000002,-2556.395406884745,52911.90742760927,STOP,0.00024999999999997247,LONG_BASE_BREAKOUT,2026-06-29T17:00:00+00:00,2026-06-29T18:00:00+00:00,2026-06-30T12:00:00+00:00
7971,7972,8008,1,0.75,0.006245,0.006325,0.00837018614891914,442.8825146634699,53354.78994227274,TIME,0.00044999999999995044,LONG_BASE_BREAKOUT,2026-07-01T03:00:00+00:00,2026-07-01T04:00:00+00:00,2026-07-02T16:00:00+00:00
8130,8131,8167,-1,0.75,0.006569,0.006242,0.03677194968792809,1961.9596513672295,55316.74959363997,TIME,0.00044999999999995044,SHORT_PULLBACK,2026-07-07T18:00:00+00:00,2026-07-07T19:00:00+00:00,2026-07-09T07:00:00+00:00
8282,8283,8319,-1,0.75,0.005783,0.006271,-0.0638811428717793,-3533.697183993754,51783.05240964622,TIME,0.0004104099999999722,SHORT_PULLBACK,2026-07-14T02:00:00+00:00,2026-07-14T03:00:00+00:00,2026-07-15T15:00:00+00:00
8350,8351,8387,-1,0.75,0.006116,0.005994,0.01424348116579459,737.5709317041474,52520.623341350365,TIME,0.0002436299999999808,SHORT_PULLBACK,2026-07-16T22:00:00+00:00,2026-07-16T23:00:00+00:00,2026-07-18T11:00:00+00:00
8560,8561,8597,1,0.75,0.006137,0.006391,0.029803725354407656,1565.310233507902,54085.93357485827,TIME,0.00044999999999995044,LONG_BASE_BREAKOUT,2026-07-25T16:00:00+00:00,2026-07-25T17:00:00+00:00,2026-07-27T05:00:00+00:00
8613,8614,8650,-1,0.75,0.006098,0.005896,0.024060738716792374,1301.3475159984519,55387.28109085672,TIME,0.00015536999999997414,SHORT_PULLBACK,2026-07-27T21:00:00+00:00,2026-07-27T22:00:00+00:00,2026-07-29T10:00:00+00:00
