symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
BTCUSDT,sig_funding_contra,holdout,15,2.0,630,-0.0001252467501183565,-0.0011252467501183566,-0.0010370642151039658,0.21746031746031746,-14.024209632079076
BTCUSDT,sig_funding_contra,selection,15,2.5,934,0.00012398671583574723,-0.000876013284164253,-0.000854564290584058,0.3233404710920771,-10.094583474419844
BTCUSDT,sig_funding_contra,holdout,15,2.5,385,-0.00010079969156155425,-0.0011007996915615545,-0.0010177890950305848,0.24155844155844156,-9.226933941318094
BTCUSDT,sig_funding_contra,selection,30,1.5,2833,5.638770838500232e-05,-0.000943612291614998,-0.0009383181790644226,0.3480409459936463,-14.944057214567447
BTCUSDT,sig_funding_contra,holdout,30,1.5,1809,-0.00021062538293733384,-0.001210625382937334,-0.0010815680436797584,0.27860696517412936,-19.002900478348835
BTCUSDT,sig_funding_contra,selection,30,2.0,1656,9.360173988976377e-05,-0.0009063982601102366,-0.0009866496160357277,0.3641304347826087,-10.064079370934339
BTCUSDT,sig_funding_contra,holdout,30,2.0,630,-0.00017563853960697427,-0.0011756385396069745,-0.0010788819785017547,0.2634920634920635,-10.365439254868592
BTCUSDT,sig_funding_contra,selection,30,2.5,934,0.00018680624369826843,-0.0008131937563017319,-0.0008535941809149619,0.40471092077087795,-6.711871282236228
BTCUSDT,sig_funding_contra,holdout,30,2.5,385,-0.00010053803393714409,-0.0011005380339371444,-0.0010204399964739421,0.2961038961038961,-6.495024679210951
BTCUSDT,sig_funding_contra,selection,60,1.5,2833,7.688102255485986e-05,-0.0009231189774451404,-0.0010043845482671223,0.3819272855630074,-10.653700874023988
BTCUSDT,sig_funding_contra,holdout,60,1.5,1809,-0.0003536040031354471,-0.0013536040031354476,-0.001183546912988608,0.33167495854063017,-16.035775336982365
BTCUSDT,sig_funding_contra,selection,60,2.0,1656,0.00014576982531994367,-0.0008542301746800568,-0.0011338006102762912,0.37379227053140096,-6.674650314263848
BTCUSDT,sig_funding_contra,holdout,60,2.0,630,-0.0001540456890469354,-0.0011540456890469356,-0.0010089547834704607,0.35079365079365077,-7.879853748998102
BTCUSDT,sig_funding_contra,selection,60,2.5,934,0.000408077542590147,-0.0005919224574098535,-0.0007877963919211131,0.4143468950749465,-3.5937033031779957
