execution_price,delay_minutes,cost_bps_per_side_per_venue,volume_quantile_filter,active_bar_ratio,total_return,cagr,max_drawdown,sharpe,average_month,median_month,best_month,worst_month,positive_month_ratio,positive_week_ratio,best_week,worst_week,weeks
bar_open,30,5,0.0,0.12698412698412698,-0.20964988466093837,-0.611081272107713,-0.3035068063935237,-1.8235076925992804,-0.07080141153612966,-0.0696104174092731,0.041831714935456565,-0.18462553213457245,0.3333333333333333,0.35714285714285715,0.04591506297114689,-0.06258649391070525,14
bar_open,30,5,0.1,0.12698412698412698,-0.20964988466093837,-0.611081272107713,-0.3035068063935237,-1.8235076925992804,-0.07080141153612966,-0.0696104174092731,0.041831714935456565,-0.18462553213457245,0.3333333333333333,0.35714285714285715,0.04591506297114689,-0.06258649391070525,14
bar_open,30,5,0.25,0.12698412698412698,-0.20964988466093837,-0.611081272107713,-0.3035068063935237,-1.8235076925992804,-0.07080141153612966,-0.0696104174092731,0.041831714935456565,-0.18462553213457245,0.3333333333333333,0.35714285714285715,0.04591506297114689,-0.06258649391070525,14
bar_open,30,5,0.5,0.025793650793650792,-0.07868178748809684,-0.28031194239158796,-0.09054123887418575,-1.3282177797989212,-0.026893774531770814,-0.024108443208231134,-0.016089411626381223,-0.04048346876070008,0.0,0.14285714285714285,0.0052380371992497565,-0.02750224182005112,14
bar_open,30,10,0.0,0.12698412698412698,-0.5479972830722459,-0.9587167109115803,-0.5722128808930274,-6.597893951411601,-0.2272920470276046,-0.19776025321671076,-0.1369381141762369,-0.34717777368986613,0.0,0.07142857142857142,0.019047191448587686,-0.14346654687634897,14
bar_open,30,10,0.1,0.12698412698412698,-0.5479972830722459,-0.9587167109115803,-0.5722128808930274,-6.597893951411601,-0.2272920470276046,-0.19776025321671076,-0.1369381141762369,-0.34717777368986613,0.0,0.07142857142857142,0.019047191448587686,-0.14346654687634897,14
bar_open,30,10,0.25,0.12698412698412698,-0.5479972830722459,-0.9587167109115803,-0.5722128808930274,-6.597893951411601,-0.2272920470276046,-0.19776025321671076,-0.1369381141762369,-0.34717777368986613,0.0,0.07142857142857142,0.019047191448587686,-0.14346654687634897,14
bar_open,30,10,0.5,0.025793650793650792,-0.16976607253105402,-0.5261077035655701,-0.1771433849605386,-3.135529001886896,-0.0599991681374901,-0.05296981611121354,-0.04520293649168361,-0.08182475180957316,0.0,0.07142857142857142,0.0031740247836622437,-0.04197784807241489,14
bar_open,30,20,0.0,0.12698412698412698,-0.8524110637492281,-0.9995379660903638,-0.8538949561029777,-15.325692906541526,-0.4645527479060514,-0.4080505001181838,-0.4038038254131262,-0.5818039181868442,0.0,0.0,-0.016781832104057592,-0.28782043141300984,14
bar_open,30,20,0.1,0.12698412698412698,-0.8524110637492281,-0.9995379660903638,-0.8538949561029777,-15.325692906541526,-0.4645527479060514,-0.4080505001181838,-0.4038038254131262,-0.5818039181868442,0.0,0.0,-0.016781832104057592,-0.28782043141300984,14
bar_open,30,20,0.25,0.12698412698412698,-0.8524110637492281,-0.9995379660903638,-0.8538949561029777,-15.325692906541526,-0.4645527479060514,-0.4080505001181838,-0.4038038254131262,-0.5818039181868442,0.0,0.0,-0.016781832104057592,-0.28782043141300984,14
bar_open,30,20,0.5,0.025793650793650792,-0.32602135816012545,-0.7947871599706063,-0.329325882590247,-6.524554907354853,-0.12284726404205877,-0.10823764261246094,-0.1009523526459204,-0.159351796867795,0.0,0.0,0.0,-0.09064385237683625,14
bar_open,30,50,0.0,0.12698412698412698,-0.9949310920298156,-0.9999999993865485,-0.9949328125756915,-32.20870660335024,-0.8189014735527773,-0.809877791125642,-0.7561708945176464,-0.8906557350150435,0.0,0.0,-0.05178276559922623,-0.5915342089372173,14
bar_open,30,50,0.1,0.12698412698412698,-0.9949310920298156,-0.9999999993865485,-0.9949328125756915,-32.20870660335024,-0.8189014735527773,-0.809877791125642,-0.7561708945176464,-0.8906557350150435,0.0,0.0,-0.05178276559922623,-0.5915342089372173,14
bar_open,30,50,0.25,0.12698412698412698,-0.9949310920298156,-0.9999999993865485,-0.9949328125756915,-32.20870660335024,-0.8189014735527773,-0.809877791125642,-0.7561708945176464,-0.8906557350150435,0.0,0.0,-0.05178276559922623,-0.5915342089372173,14
bar_open,30,50,0.5,0.025793650793650792,-0.6403428824529158,-0.9835037135664826,-0.6403428824529158,-13.616655137045928,-0.28714813885735363,-0.25597155796568516,-0.2499646361998219,-0.3555082224065539,0.0,0.0,0.0,-0.22279481256303946,14
next_close,5,5,0.0,0.14102564102564102,1.5123738698352098,39.3546894300788,-0.07455293886547076,7.23006615901758,0.36654256973369986,0.3747965102778392,0.531899581768229,0.19293161715503127,1.0,0.9285714285714286,0.17661614198444986,-0.03277554218875689,14
next_close,5,5,0.1,0.14102564102564102,1.5123738698352098,39.3546894300788,-0.07455293886547076,7.23006615901758,0.36654256973369986,0.3747965102778392,0.531899581768229,0.19293161715503127,1.0,0.9285714285714286,0.17661614198444986,-0.03277554218875689,14
next_close,5,5,0.25,0.14102564102564102,1.5123738698352098,39.3546894300788,-0.07455293886547076,7.23006615901758,0.36654256973369986,0.3747965102778392,0.531899581768229,0.19293161715503127,1.0,0.9285714285714286,0.17661614198444986,-0.03277554218875689,14
next_close,5,5,0.5,0.028083028083028084,0.10401089920878692,0.4876142119177622,-0.045737297415612166,1.6954209968751606,0.03419429731731057,0.05973110632240797,0.06050101937130137,-0.017649233741777626,0.6666666666666666,0.5714285714285714,0.03812081706413095,-0.01680836223407678,14
